1237* SEE
0275* 50-00-0
0695* 50-00-0
0894* 50-01-1
0689* 50-18-0
0501* 50-21-5
0034* 50-29-3
0104* 50-32-8
0892* 50-70-4
0822* 50-78-2
0379* 50-81-7
0865* 50-99-7
1347* 51-03-6
0464* 51-28-5
0314* 51-79-6
0415* 52-51-7
0585* 52-68-6
0431* 53-70-3
0519* 54-11-5
1258* 54-85-3
0655* 55-38-9
1528* 55-55-0
0186* 55-63-0
0541* 55-68-5
0024* 56-23-5
1282* 56-35-9
0006* 56-38-2
0385* 56-55-3
0422* 56-72-4
0624* 56-81-5
1439* 56-84-8
0372* 57-06-7
0530* 57-10-3
0568* 57-11-4
0595* 57-13-6
0147* 57-14-7
0197* 57-24-9
1554* 57-48-7
1507* 57-50-1
0321* 57-55-6
0555* 57-57-8
0740* 57-74-9
0405* 58-08-2
0678* 58-55-9
0053* 58-89-9
1089* 58-90-2
0131* 59-50-7
0919* 59-51-8
1702* 59-67-6
0886* 60-00-4
1498* 60-11-7
0936* 60-12-8
0916* 60-24-2
0355* 60-29-7
0180* 60-34-4
0233* 60-35-5
0327* 60-41-3
0741* 60-51-5
0787* 60-57-1
0376* 60-80-0
0631* 61-82-5
1684* 62-23-7
0540* 62-38-4
0011* 62-53-3
1092* 62-54-4
0579* 62-55-5
0680* 62-56-6
0690* 62-73-7
0484* 62-74-8
0525* 62-75-9
0121* 63-25-2
1688* 64-02-8
0044* 64-17-5
0485* 64-18-6
0363* 64-19-7
0570* 64-67-5
0520* 65-30-5
0521* 65-31-6
0103* 65-85-0
0244* 66-81-9
0853* 67-48-1
0057* 67-56-1
0554* 67-63-0
0087* 67-64-1
0027* 67-66-3
0459* 67-68-5
0051* 67-72-1
1218* 68-04-2
0915* 68-11-1
0457* 68-12-2
0563* 69-72-7
0161* 70-30-4
1557* 70-55-3
0553* 71-23-8
0111* 71-36-3
0535* 71-41-0
0015* 71-43-2
0079* 71-55-6
1023* 72-20-8
1306* 72-43-5
0503* 74-11-3
1181* 74-31-7
0291* 74-82-8
0109* 74-83-9
0266* 74-84-0
0475* 74-85-1
0089* 74-86-2
0419* 74-87-3
0509* 74-88-4
0178* 74-89-5
1483* 74-89-5
0492* 74-90-8
0299* 74-93-1
0354* 74-95-3
1378* 74-96-4
0392* 74-97-5
0319* 74-98-6
0560* 74-99-7
0132* 75-00-3
0082* 75-01-4
0598* 75-02-5
0479* 75-03-6
0153* 75-04-7
1482* 75-04-7
0088* 75-05-8
0009* 75-07-0
0470* 75-08-1
0058* 75-09-2
0891* 75-12-7
0022* 75-15-0
0878* 75-18-3
0406* 75-20-7
0155* 75-21-8
0108* 75-25-2
0393* 75-27-4
0901* 75-28-5
0908* 75-31-0
0249* 75-34-3
0083* 75-35-4
0210* 75-36-5
0687* 75-38-7
1106* 75-43-4
0007* 75-44-5
0049* 75-45-6
0577* 75-46-7
0206* 75-50-3
1484* 75-50-3
0522* 75-52-5
0297* 75-54-7
0322* 75-55-8
0192* 75-56-9
1099* 75-57-0
1419* 75-61-6
0837* 75-63-8
0114* 75-65-0
0019* 75-66-1
0643* 75-68-3
0047* 75-69-4
0048* 75-71-8
0420* 75-72-9
0575* 75-73-0
0200* 75-74-1
0966* 75-77-4
0870* 75-78-5
0301* 75-79-6
0611* 75-86-5
1299* 75-88-7
0842* 75-91-2
0486* 75-98-9
1509* 75-99-0
1394* 76-01-7
0586* 76-03-9
1673* 76-05-1
0750* 76-06-2
1420* 76-11-9
1421* 76-12-0
0050* 76-13-1
0649* 76-14-2
0848* 76-15-3
1021* 76-22-2
1636* 76-38-0
0743* 76-44-8
1283* 76-87-9
1096* 77-47-4
1171* 77-58-7
0873* 77-73-6
0148* 77-78-1
0855* 77-92-9
1350* 77-93-0
0366* 77-99-6
0008* 78-00-2
0333* 78-10-4
1576* 78-11-5
0961* 78-30-8
0883* 78-34-2
0968* 78-42-2
0169* 78-59-1
1090* 78-67-1
0912* 78-70-6
1153* 78-78-4
0904* 78-79-5
1253* 78-81-9
0113* 78-83-1
0902* 78-84-2
1259* 78-85-3
0441* 78-87-5
0942* 78-90-0
0112* 78-92-2
0179* 78-93-3
1495* 78-94-4
0760* 78-95-5
0905* 78-96-6
0723* 78-99-9
0080* 79-00-5
0081* 79-01-6
0845* 79-04-9
0091* 79-06-1
0640* 79-07-2
0806* 79-09-4
0688* 79-10-7
0235* 79-11-8
1537* 79-14-1
0507* 79-20-9
1031* 79-21-0
1110* 79-22-1
0817* 79-24-3
1235* 79-27-6
0903* 79-31-2
0332* 79-34-5
0869* 79-36-7
0685* 79-38-9
0917* 79-41-4
0868* 79-43-6
0187* 79-46-9
1704* 79-92-5
0634* 80-05-7
0761* 80-15-9
1346* 80-43-3
1285* 80-51-3
0300* 80-62-6
0821* 81-81-2
0745* 82-68-8
1515* 83-26-1
1674* 83-32-9
1604* 83-56-7
0944* 83-79-4
1454* 83-88-5
1525* 84-15-1
0651* 84-61-7
1605* 84-65-1
0258* 84-66-2
0829* 84-69-5
0036* 84-74-2
1363* 85-00-7
1643* 85-42-7
1372* 85-43-8
0315* 85-44-9
0834* 85-68-7
0526* 86-30-6
0826* 86-50-0
0973* 86-88-4
0451* 87-59-2
1222* 87-61-6
1519* 87-62-7
0770* 87-66-1
0896* 87-68-3
0069* 87-86-5
1675* 87-90-1
1122* 88-06-2
1478* 88-12-0
1549* 88-18-6
1581* 88-19-7
0931* 88-72-2
0028* 88-73-3
0306* 88-74-4
0523* 88-75-5
0149* 88-85-7
0316* 88-89-1
0768* 88-99-3
1375* 89-32-7
1618* 89-61-2
1472* 89-72-5
0641* 89-98-5
0970* 90-04-0
1275* 90-12-0
1707* 90-13-1
1113* 90-30-2
0669* 90-43-7
1301* 91-08-7
0670* 91-15-6
1548* 91-17-8
0667* 91-20-3
0071* 91-22-5
1520* 91-23-6
1276* 91-57-6
0610* 91-59-8
1105* 91-64-5
1609* 91-66-7
1680* 91-76-9
0481* 91-94-1
1666* 91-95-2
0106* 92-52-4
1550* 92-59-1
0759* 92-67-1
1759* 92-70-6
0937* 92-84-2
0224* 92-87-5
1395* 92-93-3
1187* 93-58-3
0055* 93-65-2
0075* 93-76-5
0225* 94-36-0
0054* 94-74-6
0033* 94-75-7
1091* 95-14-7
0084* 95-47-6
0030* 95-48-7
1458* 95-49-8
1066* 95-50-1
0129* 95-51-2
0341* 95-53-4
1441* 95-54-5
0824* 95-55-6
0849* 95-57-8
1433* 95-63-6
0453* 95-64-7
1562* 95-68-1
0630* 95-69-2
0144* 95-76-1
1686* 95-78-3
0582* 95-80-7
0142* 95-82-9
1652* 95-85-2
0676* 95-94-3
0879* 95-95-4
1201* 96-09-3
0002* 96-12-8
1263* 96-14-0
0683* 96-18-4
0874* 96-22-0
1711* 96-23-1
1745* 96-31-1
0625* 96-33-3
1410* 96-34-4
1148* 96-45-7
1020* 96-48-0
0416* 97-00-7
1107* 97-02-9
1298* 97-36-9
0272* 97-63-2
1438* 97-77-8
1018* 97-88-1
1270* 97-90-5
1159* 97-99-4
0794* 98-00-0
0276* 98-01-1
0223* 98-05-5
0105* 98-07-7
1626* 98-11-3
1068* 98-51-1
0637* 98-54-4
1762* 98-59-9
0170* 98-82-8
0732* 98-83-9
1156* 98-86-2
0101* 98-87-3
1015* 98-88-4
